date,time,constant,position,expected,received
Oct-17-2024,08:51:27,Phi,52,8,6
Oct-20-2024,11:34:58,Phi,87,7,8
Oct-20-2024,11:35:32,Phi,103,7,0
Oct-20-2024,11:36:07,Phi,124,6,1
Oct-20-2024,11:36:07,Phi,124,6,2
Oct-20-2024,11:36:08,Phi,124,6,3
Oct-20-2024,11:36:08,Phi,124,6,4
Oct-20-2024,11:36:09,Phi,124,6,5
Oct-20-2024,11:36:17,Phi,125,3,0
Oct-20-2024,11:36:17,Phi,125,3,9
Oct-20-2024,11:36:18,Phi,125,3,8
Oct-20-2024,11:36:18,Phi,125,3,7
Oct-20-2024,11:36:18,Phi,125,3,6
Oct-20-2024,11:36:19,Phi,125,3,5
Oct-20-2024,11:36:19,Phi,125,3,4
Oct-20-2024,11:36:26,Phi,126,3,1
Oct-20-2024,11:36:26,Phi,126,3,2
Oct-20-2024,11:36:27,Phi,127,8,4
Oct-20-2024,11:36:38,Phi,135,6,7
Oct-20-2024,11:36:57,Phi,156,4,3
Oct-20-2024,11:37:53,Phi,202,6,0
Oct-20-2024,11:37:54,Phi,202,6,9
Oct-20-2024,11:37:54,Phi,202,6,8
Oct-20-2024,11:37:54,Phi,202,6,7
Oct-20-2024,11:37:57,Phi,203,7,1
Oct-20-2024,11:37:57,Phi,203,7,2
Oct-20-2024,11:37:57,Phi,203,7,3
Oct-20-2024,11:37:58,Phi,203,7,4
Oct-20-2024,11:37:58,Phi,203,7,5
Oct-20-2024,11:37:58,Phi,203,7,6
Oct-20-2024,11:38:02,Phi,204,5,0
Oct-20-2024,11:38:02,Phi,204,5,9
Oct-20-2024,11:38:02,Phi,204,5,8
Oct-20-2024,11:38:03,Phi,204,5,7
Oct-20-2024,11:38:03,Phi,204,5,6
Oct-20-2024,11:38:24,Phi,211,8,7
Oct-20-2024,11:38:27,Phi,211,8,1
Oct-20-2024,11:38:27,Phi,211,8,2
Oct-20-2024,11:38:28,Phi,211,8,3
Oct-20-2024,11:38:28,Phi,211,8,4
Oct-20-2024,11:38:28,Phi,211,8,5
Oct-20-2024,11:38:28,Phi,211,8,6
Oct-20-2024,11:38:29,Phi,211,8,7
Oct-20-2024,11:38:56,Phi,238,2,9
Oct-20-2024,11:40:30,Phi,289,2,0
Oct-20-2024,11:40:31,Phi,289,2,9
Oct-20-2024,11:40:31,Phi,289,2,8
Oct-20-2024,11:40:31,Phi,289,2,7
Oct-20-2024,11:40:31,Phi,289,2,6
Oct-20-2024,11:40:32,Phi,289,2,5
Oct-20-2024,11:40:32,Phi,289,2,4
Oct-20-2024,11:40:32,Phi,289,2,4
Oct-20-2024,11:40:33,Phi,289,2,3
Oct-20-2024,11:40:33,Phi,289,2,1
Oct-20-2024,11:41:22,Phi,290,4,9
Oct-20-2024,11:41:22,Phi,290,4,0
Oct-20-2024,11:41:22,Phi,290,4,1
Oct-20-2024,11:41:23,Phi,290,4,2
Oct-20-2024,11:41:23,Phi,290,4,3
Oct-20-2024,11:41:23,Phi,291,6,5
Oct-20-2024,11:42:42,Phi,80,4,9
